03:15 Converse_Boy: t
03:18 Converse_Boy: §2hi
03:18 Converse_Boy: §3hi
03:18 Converse_Boy: §4hi
03:18 Converse_Boy: mhm
03:23 GOTeamLeoGO : hmm
04:05 Donald_JTrump: Hello
04:06 Donald_JTrump: Are you new to the server?
05:36 Nick_A_Naut  : airforce
05:36 Nick_A_Naut  : thats like, a one way trip
05:36 airforceboy  : WHOOPS
05:36 airforceboy  : There we go
05:36 airforceboy  : K
05:38 airforceboy  : Should I send him the record?
05:38 Nick_A_Naut  : ifk
05:38 Nick_A_Naut  : *idk
05:38 Nick_A_Naut  : ooh, have you seen my town?
05:38 airforceboy  : NO
05:38 airforceboy  : No
05:38 Nick_A_Naut  : wanna?
05:38 airforceboy  : K
05:39 Nick_A_Naut  : well?
05:39 Nick_A_Naut  : good?
05:39 airforceboy  : Cool
05:40 Nick_A_Naut  : do you have a house in the survival world?
05:40 airforceboy  : Nope
05:40 Nick_A_Naut  : wanna live in my town?
05:40 airforceboy  : K
05:40 Nick_A_Naut  : currently got one other person
05:41 airforceboy  : Cool
05:41 airforceboy  : So
05:41 Nick_A_Naut  : so
05:42 airforceboy  : Where should I live?
05:42 airforceboy  : Or
05:42 Nick_A_Naut  : i made a house
05:42 Nick_A_Naut  : come
05:42 Nick_A_Naut  : yup
05:42 Nick_A_Naut  : here
05:42 airforceboy  : Cool
05:42 Nick_A_Naut  : so if you see converse, say hi
05:44 Nick_A_Naut  : so
05:44 Nick_A_Naut  : need anything?
05:44 airforceboy  : Glass
05:44 Nick_A_Naut  : k
05:44 Nick_A_Naut  : i got plenty
05:44 Nick_A_Naut  : stacks
05:45 Nick_A_Naut  : so i have just about all kinds of medieval buildings here
05:46 Nick_A_Naut  : florists, lumberyars, blacksmiths, apothocarys, librarys, bakerys, you name it
05:46 Nick_A_Naut  : come
05:47 Nick_A_Naut  : take anything
05:47 Nick_A_Naut  : armor?
05:47 Nick_A_Naut  : why not diamond?
05:47 Nick_A_Naut  : top one is the best
05:48 Nick_A_Naut  : i am not saying "diamond armor is mine" or "pay for diamond"
05:48 airforceboy  : Ik
05:48 Nick_A_Naut  : i found all this crap in the end, and i intend to let all share in the glory
05:48 Nick_A_Naut  : why not diamond?
05:48 airforceboy  : I dunno
05:48 Nick_A_Naut  : k
05:51 Nick_A_Naut  : dona
05:51 Nick_A_Naut  : oh wait nvm
05:52 donabella09  : what is it nick? .-.
05:52 Nick_A_Naut  : nothin
05:52 donabella09  : mk
05:53 Nick_A_Naut  : hey
05:53 Nick_A_Naut  : air
05:53 airforceboy  : Yee?
05:53 Nick_A_Naut  : check out my pet
05:53 Nick_A_Naut  : totem
05:53 Nick_A_Naut  : his name is Iftar
05:54 airforceboy  : K
05:54 Nick_A_Naut  : oh wait
05:54 Nick_A_Naut  : Ifter
05:54 Nick_A_Naut  : aww
05:54 Nick_A_Naut  : he is a naturally spawned one
05:54 airforceboy  : GG
05:54 Nick_A_Naut  : he's an outcast
05:54 Nick_A_Naut  : lil ifter
05:54 donabella09  : well i gtg cya later guys
05:54 airforceboy  : Bye
05:55 Nick_A_Naut  : cya dona
11:21 DiamondMaster03: hello?
11:21 DiamondMaster03: anyone there?
13:13 EmmettGaming   : emm
13:13 EmmettGaming   : i am lost
13:23 EmmettGaming   : disguis
13:32 EmmettGaming   : em
13:32 EmmettGaming   : emm
13:35 EmmettGaming   : s
13:37 EmmettGaming   : ahh
14:04 EmmettGaming   : gm 1
14:33 EmmettGaming   : emm come
14:33 EmmettGaming   : hi
14:34 EmmettGaming   : emm come plz
14:34 EmmettGaming   : hi
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:34 EmmettGaming   : /msg ibullet hi 
14:35 EmmettGaming   : emm
14:39 EmmettGaming   : emm
14:40 EmmettGaming   : come
14:40 EmmettGaming   : i need you ibullet
14:41 EmmettGaming   : i need you ibullet
14:47 EmmettGaming   : /PM IBULLET HI 
14:51 EmmettGaming   : emm
14:52 EmmettGaming   : list
14:57 EmmettGaming   : /msg ibullet hi 
15:05 EmmettGaming   : agh
17:00 GOTeamLeoGO    : hi
17:17 KragenClaw     : hi
17:17 EmmettGaming   : hi
17:18 EmmettGaming   : /msg kragenclaw where are you 
17:18 EmmettGaming   : /msg kragenclaw come here to be hero so we can fight 
17:19 EmmettGaming   : /msg kragenclaw come here to be hero so we can fight 
17:19 EmmettGaming   : /msg kragenclaw come here to be hero so we can fight 
17:19 KragenClaw     : at spawn
17:19 KragenClaw     : k
17:19 EmmettGaming   : /msg kragenclaw come then 
17:19 EmmettGaming   : i am too fast
17:20 EmmettGaming   : come
17:21 EmmettGaming   : omg i got a idea
17:21 EmmettGaming   : emm
17:22 EmmettGaming   : get op hero
17:22 EmmettGaming   : not deadpool
17:22 EmmettGaming   : get green lanturn
17:22 KragenClaw     : who are you
17:23 EmmettGaming   : i am thor
17:23 EmmettGaming   : be him
17:23 EmmettGaming   : wolfreen he regens
17:24 EmmettGaming   : chose the flash
17:24 EmmettGaming   : oh thats good anyway
17:24 EmmettGaming   : come in
17:24 EmmettGaming   : come we have to battle
17:26 EmmettGaming   : run 9
17:27 EmmettGaming   : rlly
17:29 EmmettGaming   : civl war baby
17:29 EmmettGaming   : come to /warp battle and we will fight in civl war
17:30 EmmettGaming   : i am waiting for you
17:30 EmmettGaming   : are you ready
17:30 EmmettGaming   : okay
17:31 EmmettGaming   : i had havle a heart
17:32 EmmettGaming   : gf
17:32 EmmettGaming   : gg
17:32 KragenClaw     : gg
17:32 EmmettGaming   : gg
17:32 EmmettGaming   : i had havle a heart
17:32 EmmettGaming   : what do i do to go back
17:33 EmmettGaming   : 3
17:33 EmmettGaming   : 2
17:33 EmmettGaming   : 1
17:33 EmmettGaming   : gpppppppppppp
17:33 EmmettGaming   : gooooooo
17:33 EmmettGaming   : emm come plz or tpa to me
17:34 EmmettGaming   : 3
17:34 EmmettGaming   : 2
17:34 EmmettGaming   : 1
17:34 EmmettGaming   : goo
17:34 EmmettGaming   : run 9
17:35 EmmettGaming   : list
17:35 EmmettGaming   : where are you
17:35 EmmettGaming   : run 9
17:36 EmmettGaming   : okay
17:36 EmmettGaming   : 3
17:36 EmmettGaming   : 2
17:36 EmmettGaming   : 1
17:36 EmmettGaming   : goo
17:37 EmmettGaming   : come and figth me
17:37 EmmettGaming   : after you get arrows
17:37 EmmettGaming   : real
17:37 EmmettGaming   : just start in
17:37 EmmettGaming   : 3
17:37 EmmettGaming   : 2
17:37 EmmettGaming   : 1
17:37 EmmettGaming   : goo
17:38 EmmettGaming   : ahh
17:38 EmmettGaming   : omg
17:38 KragenClaw     : 3
17:39 KragenClaw     : 2
17:39 KragenClaw     : 1
17:39 KragenClaw     : goo
17:39 EmmettGaming   : i am coming i just have speed 59558585885
17:40 EmmettGaming   : gg
17:40 EmmettGaming   : super man fight gg
17:40 EmmettGaming   : come
17:40 EmmettGaming   : are you ready]
17:40 EmmettGaming   : well anyway
17:40 EmmettGaming   : 1
17:40 EmmettGaming   : 2
17:40 EmmettGaming   : 3
17:40 EmmettGaming   : goooooooooo
17:40 EmmettGaming   : come
17:40 EmmettGaming   : come
17:41 EmmettGaming   : can you talk
17:41 KragenClaw     : ya
17:44 EmmettGaming   : sudden death no speed
17:45 EmmettGaming   : gg
17:45 EmmettGaming   : gg
17:45 KragenClaw     : gg
17:45 EmmettGaming   : good game
17:46 KragenClaw     : help
17:46 EmmettGaming   : teen titans lets go
17:46 EmmettGaming   : hat
17:48 EmmettGaming   : forcechoke plr
17:48 EmmettGaming   : darth maul; come and fight me hehehehhe
17:49 EmmettGaming   : come
17:49 EmmettGaming   : can you coms
17:50 EmmettGaming   : come
17:50 EmmettGaming   : 3
17:50 EmmettGaming   : 2
17:50 EmmettGaming   : 1
17:50 EmmettGaming   : gooooo
17:50 EmmettGaming   : stop
17:50 KragenClaw     : hi
17:50 GOTeamLeoGO    : hi
17:50 EmmettGaming   : omg someone else is here
17:50 GOTeamLeoGO    : did you guys jsut join this server?
17:50 EmmettGaming   : we can do 1v1v1 now
17:51 KragenClaw     : go to warp battle
17:51 EmmettGaming   : i joined a year ago
17:51 GOTeamLeoGO    : oh ok
17:51 GOTeamLeoGO    : that was rather easy
17:51 EmmettGaming   : yeha
17:52 EmmettGaming   : help me
17:52 GOTeamLeoGO    : no one punch man im not fighting you when your him
17:52 GOTeamLeoGO    : hes too OP
17:52 EmmettGaming   : hi guys
17:52 GOTeamLeoGO    : how am i this powerful
17:53 GOTeamLeoGO    : no fair
17:53 GOTeamLeoGO    : your both one punch man
17:53 EmmettGaming   : lol talk to my kit and you will be wowed
17:53 GOTeamLeoGO    : HOW AM I THIS GOOD
17:54 KragenClaw     : come
17:54 GOTeamLeoGO    : anyone wanna fight
17:55 GOTeamLeoGO    : im not fighting
17:55 GOTeamLeoGO    : you
17:55 GOTeamLeoGO    : your one punch man
17:55 KragenClaw     : ya
17:56 GOTeamLeoGO    : you know that kits only for staff
17:56 GOTeamLeoGO    : right
17:56 GOTeamLeoGO    : tek is banning it
17:56 GOTeamLeoGO    : for only staff
17:56 GOTeamLeoGO    : able to use it
17:56 EmmettGaming   : what kit is only for staff
17:56 KragenClaw     : i am staff
17:56 GOTeamLeoGO    : no
17:56 EmmettGaming   : what kit is only for staff
17:56 GOTeamLeoGO    : i dont see your tag
17:56 KragenClaw     : my friend made me one
17:56 GOTeamLeoGO    : whose your friend
17:56 KragenClaw     : zach
17:56 GOTeamLeoGO    : well not on this server
17:57 GOTeamLeoGO    : tek wouldve gave you a staff tag
17:57 KragenClaw     : k
17:57 GOTeamLeoGO    : if you were staffo n this server
17:57 GOTeamLeoGO    : how you doing that emmet
17:57 GOTeamLeoGO    : speed?
17:57 EmmettGaming   : i not stelling you
17:58 GOTeamLeoGO    : then i kill you
17:58 KragenClaw     : i have to go
17:58 EmmettGaming   : come we need to battle
17:58 GOTeamLeoGO    : k
17:59 EmmettGaming   : turn into captain america i got a idea
17:59 GOTeamLeoGO    : me?
17:59 EmmettGaming   : yeah
17:59 GOTeamLeoGO    : ok
17:59 EmmettGaming   : yeah you
17:59 GOTeamLeoGO    : im the captain
17:59 EmmettGaming   : #civl war for live
17:59 GOTeamLeoGO    : k
18:00 EmmettGaming   : we gonna do civl war round
18:00 GOTeamLeoGO    : let us battle
18:01 GOTeamLeoGO    : so much flying
18:01 EmmettGaming   : gg
18:01 GOTeamLeoGO    : now les do this
18:01 EmmettGaming   : NOW BATMAN VS SUPERMAN
18:01 GOTeamLeoGO    : ill be super
18:01 GOTeamLeoGO    : you be bats
18:01 EmmettGaming   : ok i be batman or i will be lex
18:02 GOTeamLeoGO    : you pick
18:02 EmmettGaming   : i forgot lex has no powers
18:02 EmmettGaming   : look
18:03 GOTeamLeoGO    : aim it at me
18:03 GOTeamLeoGO    : it kills me
18:03 EmmettGaming   : i know
18:03 GOTeamLeoGO    : les ifhgt
18:03 GOTeamLeoGO    : fight
18:03 EmmettGaming   : omg
18:03 GOTeamLeoGO    : lasa vision
18:04 EmmettGaming   : not fair it was insta shot
18:04 GOTeamLeoGO    : i know
18:04 GOTeamLeoGO    : because laser vision
18:04 EmmettGaming   : lel
18:04 GOTeamLeoGO    : sliced your body
18:04 EmmettGaming   : do i have to
18:04 EmmettGaming   : lol
18:04 EmmettGaming   : i am wonder wouman
18:04 GOTeamLeoGO    : lol
18:05 EmmettGaming   : ahh what you doing
18:05 EmmettGaming   : 3
18:05 EmmettGaming   : 2
18:05 EmmettGaming   : 1
18:06 EmmettGaming   : gg wonderwoman won
18:06 EmmettGaming   : lol i won i dint know girls where strong
18:06 EmmettGaming   : emm
18:07 EmmettGaming   : srry
18:07 EmmettGaming   : brb
18:07 EmmettGaming   : tsop
18:07 EmmettGaming   : brb
18:07 EmmettGaming   : why you flying anyway
18:09 KragenClaw     : cant kill me
18:09 GOTeamLeoGO    : yes i can kill you
18:09 KragenClaw     : WOW
18:11 EmmettGaming   : ready
18:11 EmmettGaming   : 1
18:11 EmmettGaming   : 2
18:11 EmmettGaming   : dont kill me omn
18:11 EmmettGaming   : dont kill me omg
18:11 EmmettGaming   : whats that
18:11 EmmettGaming   : is anybody here
18:12 EmmettGaming   : i juts gonna say omg i dint know you could do that
18:12 EmmettGaming   : omg
18:13 EmmettGaming   : what herdals
18:14 EmmettGaming   : when we are done can we play mor
18:14 EmmettGaming   : when we are done can we play more of super heros
18:15 EmmettGaming   : wait for me plz
18:15 KragenClaw     : hi
18:15 EmmettGaming   : wait for me plz
18:15 PhoebeThePanda : haii
18:16 PhoebeThePanda : gg
18:16 EmmettGaming   : gg
18:16 EmmettGaming   : can we go back npw
18:16 KragenClaw     : i have to go
18:16 EmmettGaming   : oh bye
18:17 PhoebeThePanda : are you new to the server? :)
18:17 EmmettGaming   : i got this 1year ago of course not want have battle anyway
18:17 PhoebeThePanda : ahh i see
18:17 EmmettGaming   : can tou battle with me
18:18 EmmettGaming   : SUPERSIAN
18:18 PhoebeThePanda : no sorry, im mining atm
18:18 PhoebeThePanda : xD
18:19 EmmettGaming   : hwo doy you spel
18:19 EmmettGaming   : how do you spel
18:19 PhoebeThePanda : lmao
18:19 EmmettGaming   : how do you spell
18:19 EmmettGaming   : can you battle me
18:19 PhoebeThePanda : no sorry
18:19 EmmettGaming   : what do you want to do
18:19 EmmettGaming   : what do you want to do
